clip,frame,t,Root,Pelvis,Spine1,Spine2,Neck,Head,L_Clavicle,R_Clavicle,L_Shoulder,R_Shoulder,L_Elbow,R_Elbow,L_Hand,R_Hand,L_Hip,R_Hip,L_KneeLower,R_KneeLower,L_Foot,R_Foot,L_Toe,R_Toe,Axe_Handle,Axe_Head,Axe_Jaw,Weapon,SnapWeapon,SnapWeapon2Hand
attack2,18,0.6,-20.7674|103.4128|7.4979,-19.4351|98.7608|9.4908,-24.5602|109.285|4.2292,-30.85|122.0971|-1.5408,-42.552|152.6595|-9.4913,-40.5086|159.1904|-7.2203,-39.617|145.6305|-3.9171,-37.6441|144.6517|-10.5827,-50.5271|141.7001|12.7247,-41.5024|141.3624|-30.2236,-46.0907|133.5441|52.2529,-37.1616|151.7482|-69.2401,-27.8498|133.0738|75.9388,-32.7856|163.9656|-96.2117,-28.2637|91.6411|19.2127,-8.6436|92.4655|1.3017,-35.1577|56.6279|52.5765,22.6407|56.6407|-9.8673,-57.8844|17.1825|30.4762,34.4519|16.6616|-38.557,-55.6984|8.312|40.8484,44.9649|8.3508|-35.1598,-17.1078|145.3364|-57.5017,-38.3104|200.5635|-186.3403,-42.4397|195.9086|-183.3006,-36.2018|161.0339|-111.3905,-36.468|160.2995|-112.2664,-32.7864|163.9667|-96.2129
attack2,19,0.6333,-20.4279|103.3392|7.2684,-19.139|98.6393|9.1804,-24.1673|109.3012|4.0967,-30.294|122.2683|-1.566,-41.6164|153.0708|-9.1303,-39.502|159.5218|-6.7475,-38.7352|145.9324|-3.7124,-36.8203|145.0109|-10.3301,-49.5708|141.8657|12.9453,-40.6772|141.524|-29.937,-44.4221|134.0186|52.4497,-36.7587|150.8338|-69.2686,-25.0227|134.1753|75.1306,-33.0215|162.3029|-96.6615,-28.0373|91.4541|18.7898,-8.3314|92.388|0.9786,-35.0353|56.6732|52.3741,23.3985|56.7985|-9.6737,-57.8789|17.1509|30.5331,34.4677|16.6712|-38.4523,-55.693|8.2917|40.915,45.0019|8.375|-35.0853,-16.1727|144.5254|-58.049,-41.2239|197.2155|-187.2588,-45.2299|192.5809|-184.0291,-36.8047|159.0744|-111.6927,-36.7103|158.5295|-112.4098,-33.0223|162.304|-96.6628
attack2,20,0.6667,-20.1088|103.3276|7.0815,-18.8686|98.5767|8.9022,-23.7878|109.3875|4.0211,-29.7364|122.5237|-1.5204,-40.359|153.6909|-8.59,-38.1299|160.0464|-6.0561,-37.6381|146.3935|-3.3359,-35.7358|145.5497|-9.9133,-48.515|142.2051|13.2646,-39.4353|142.0666|-29.5512,-42.8175|134.3085|52.6837,-35.7972|150.4668|-69.1139,-22.4259|134.7714|74.4182,-32.5653|161.2281|-96.8561,-27.8433|91.327|18.3915,-8.0743|92.3613|0.6559,-34.9192|56.7647|52.1845,24.0434|56.9792|-9.514,-57.8979|17.1506|30.6539,34.637|16.6879|-38.2426,-55.7042|8.3041|41.045,45.1997|8.4172|-34.9025,-14.8249|144.301|-58.2699,-42.8274|194.3706|-187.9153,-46.7381|189.7753|-184.517,-36.6346|157.7042|-111.7461,-36.3049|157.4721|-112.3121,-32.5662|161.2291|-96.8574
attack2,21,0.7,-19.783|103.3521|6.9124,-18.5953|98.5489|8.6327,-23.397|109.515|3.977,-29.1548|122.8321|-1.428,-38.9536|154.3818|-7.9706,-36.5916|160.643|-5.2822,-36.4369|146.9182|-2.8735,-34.5274|146.1532|-9.4208,-47.3717|142.6246|13.662,-37.9743|142.7986|-29.127,-40.913|134.5075|52.9187,-34.4111|150.55|-68.8286,-19.6279|135.0826|73.7368,-31.5206|160.7422|-96.8223,-27.6469|91.2346|17.9985,-7.8376|92.3666|0.3139,-34.775|56.8749|51.9866,24.5898|57.1425|-9.4123,-57.9094|17.1617|30.8082,34.8406|16.6842|-38.0304,-55.7006|8.3283|41.2073,45.4284|8.4356|-34.7151,-13.1692|144.6884|-58.1588,-43.179|192.1081|-188.3504,-47.0112|187.5482|-184.8177,-35.7498|156.9233|-111.5951,-35.5021|156.8238|-112.0637,-31.5215|160.7432|-96.8236
attack2,22,0.7333,-19.4237|103.3869|6.7369,-18.2911|98.5311|8.3485,-22.9691|109.6554|3.9386,-28.5229|123.164|-1.313,-37.5287|155.0451|-7.3715,-35.034|161.2294|-4.5525,-35.2119|147.4369|-2.4092,-33.2937|146.7376|-8.9387,-46.1461|143.0585|14.1044,-36.4403|143.5659|-28.7252,-38.428|134.6758|53.0769,-33.0697|150.7322|-68.5534,-16.3738|135.2597|73.0534,-30.6138|160.3837|-96.7793,-27.418|91.1505|17.5883,-7.5867|92.3842|-0.0646,-34.5877|56.9708|51.7488,25.0748|57.264|-9.3742,-57.8978|17.1641|30.942,35.015|16.654|-37.8868,-55.6722|8.342|41.3471,45.6155|8.4148|-34.5887,-11.5704|145.4182|-58.0223,-43.8184|189.6931|-188.7849,-47.5389|185.1495|-185.1145,-34.957|156.2099|-111.4229,-34.407|156.4221|-111.7088,-30.6148|160.3847|-96.7806
attack2,23,0.7667,-19.0042|103.4061|6.5304,-17.9326|98.4972|8.0244,-22.4726|109.7839|3.8803,-27.7967|123.499|-1.1972,-35.8941|155.7077|-6.7868,-33.251|161.8161|-3.8402,-33.8182|147.958|-1.9445,-31.8728|147.3157|-8.4622,-44.7602|143.5514|14.5564,-34.6262|144.3938|-28.3456,-35.5737|134.8094|53.1294,-31.3821|151.0247|-68.2769,-13.1094|135.115|72.6393,-29.2913|160.1768|-96.6979,-27.1433|91.047|17.1242,-7.2861|92.3915|-0.4916,-34.4108|57.0045|51.4007,25.6311|57.3901|-9.3361,-57.9201|17.1461|30.9194,35.3308|16.6761|-37.7833,-55.6958|8.3242|41.3249,45.9362|8.4497|-34.469,-9.7317|146.2616|-57.811,-43.631|187.5089|-189.1448,-47.2529|182.9797|-185.3597,-33.6773|155.661|-111.2271,-33.1248|156.1048|-111.2919,-29.2922|160.1777|-96.6992
attack2,24,0.8,-18.4971|103.3836|6.2683,-17.4897|98.423|7.6368,-21.8843|109.8715|3.7785,-26.9586|123.8045|-1.0995,-34.0453|156.3328|-6.1883,-31.2351|162.36|-3.1132,-32.2423|148.4422|-1.4646,-30.262|147.8543|-7.9786,-43.1839|144.0181|15.032,-32.5582|145.2207|-27.9601,-32.5144|134.8079|53.1112,-29.3497|151.3585|-67.973,-9.7632|134.661|72.2895,-27.5218|160.0772|-96.5479,-26.7799|90.9009|16.5955,-6.9083|92.3662|-0.9944,-34.1802|56.9572|50.9415,26.2413|57.4668|-9.3613,-57.9386|17.0961|30.755,35.5682|16.677|-37.8245,-55.7276|8.2638|41.1546,46.1647|8.4542|-34.4729,-7.6832|146.975|-57.5175,-42.4575|185.8458|-189.3465,-46.0142|181.3314|-185.4828,-31.8964|155.2891|-110.9929,-31.7591|155.7089|-110.857,-27.5228|160.0782|-96.5492
attack2,25,0.8333,-17.8768|103.2936|5.9266,-16.9328|98.2846|7.1636,-21.1844|109.8886|3.6098,-25.998|124.045|-1.0405,-32.034|156.8675|-5.5639,-29.0402|162.8073|-2.3632,-30.5119|148.8393|-0.9674,-28.5051|148.3092|-7.4894,-41.4124|144.3483|15.5383,-30.3314|145.9617|-27.5548,-29.3971|134.5779|53.0732,-27.2941|151.5982|-67.6547,-6.2108|134.009|71.7281,-25.7657|159.9037|-96.37,-26.2818|90.6882|15.9978,-6.428|92.2859|-1.6007,-33.8132|56.8132|50.3831,26.8676|57.4253|-9.5385,-57.8948|16.9994|30.4884,35.4494|16.5693|-38.1408,-55.699|8.1487|40.8756,46.0152|8.3233|-34.7495,-5.6716|147.4356|-57.2508,-41.2588|184.3726|-189.4187,-44.7639|179.8781|-185.4853,-30.1533|154.8841|-110.7316,-30.4182|155.0728|-110.4494,-25.7667|159.9046|-96.3714
attack2,26,0.8667,-17.1447|103.224|5.5353,-16.2602|98.1709|6.6368,-20.3794|109.9197|3.4046,-24.9302|124.2999|-0.9877,-29.9357|157.3787|-4.8547,-26.7438|163.2249|-1.5354,-28.6789|149.217|-0.4024,-26.6693|148.7557|-6.9474,-39.4721|144.5492|16.1248,-27.9013|146.7096|-27.091,-26.6784|134.1749|53.2379,-25.2721|151.5767|-67.3204,-2.7972|133.4158|71.0103,-24.1199|159.2919|-96.2173,-25.6311|90.4965|15.3798,-5.8484|92.2419|-2.2845,-33.2543|56.6676|49.7903,27.4521|57.3152|-9.9056,-57.7553|16.9521|30.2137,34.6754|16.4002|-38.7975,-55.5659|8.0772|40.5815,45.1817|8.0881|-35.3826,-3.7612|147.6064|-56.9699,-40.1932|182.0058|-189.5917,-43.6504|177.5574|-185.5646,-28.5346|153.9632|-110.4573,-28.9976|154.2673|-109.9886,-24.1209|159.2928|-96.2187
attack2,27,0.9,-16.3261|103.2323|5.1286,-15.4931|98.1406|6.0919,-19.5011|110.019|3.1967,-23.7876|124.6189|-0.9123,-27.8346|157.9212|-3.8775,-24.43|163.646|-0.4169,-26.8126|149.6111|0.3733,-24.8265|149.266|-6.2105,-37.4048|144.367|16.8575,-25.2254|147.6332|-26.4255,-24.1624|133.2914|53.6089,-22.8976|151.7275|-66.7593,0.8962|132.8291|69.7232,-21.9311|158.8968|-95.8033,-24.8192|90.363|14.7914,-5.1947|92.3151|-3.027,-32.5322|56.4969|49.1453,27.7173|56.9872|-10.4846,-57.6435|16.9681|29.9683,30.4495|16.4494|-40.6539,-55.4343|8.081|40.3215,40.7558|7.9646|-37.0593,-1.7759|148.0497|-56.2925,-37.6002|180.0964|-189.6672,-41.0598|175.6981|-185.5874,-26.2686|153.4105|-110.0178,-27.1102|153.2224|-109.4105,-21.9321|158.8976|-95.8047
attack2,28,0.9333,-15.4287|103.2475|4.6875,-14.6425|98.1219|5.5091,-18.5515|110.1174|2.9667,-22.5616|124.9354|-0.8257,-25.6116|158.4069|-2.9625,-21.9783|164.0008|0.6213,-24.8339|149.9693|1.1065,-22.8743|149.7247|-5.5181,-35.2228|144.1167|17.5152,-22.2448|148.4075|-25.7501,-21.7752|132.7177|54.0928,-20.3314|151.4225|-66.2007,4.6553|133.0404|67.8907,-19.4402|157.9271|-95.4032,-23.8631|90.215|14.2044,-4.4777|92.4332|-3.8432,-31.719|56.24|48.4182,27.5702|56.3525|-11.458,-57.6059|16.9795|29.7275,24.2249|16.8465|-42.9072,-55.3715|8.0967|40.079,34.2761|8.1661|-39.0657,-0.0929|148.0988|-55.3854,-33.384|177.4335|-190.0345,-36.9135|173.108|-185.9366,-23.5483|152.3448|-109.6703,-24.4317|151.5617|-108.7833,-19.4412|157.928|-95.4046
attack2,29,0.9667,-14.4629|103.1986|4.1944,-13.727|98.0424|4.8693,-17.529|110.1483|2.6964,-21.2423|125.1852|-0.7259,-23.0887|158.7774|-2.2623,-19.2036|164.2396|1.3996,-22.6106|150.2475|1.6827,-20.6753|150.0488|-4.9809,-32.8668|144.0841|18.0611,-18.885|148.8472|-25.1506,-19.2135|132.3712|54.4628,-17.8318|150.304|-65.7188,8.5017|133.4908|65.4631,-16.9551|155.9817|-95.0936,-22.8183|90.01|13.5858,-3.7137|92.4901|-4.7253,-30.8559|55.9668|47.6893,26.2902|54.9151|-13.3709,-57.5265|16.9891|29.5159,17.3756|16.649|-45.2645,-55.3108|8.1108|39.8752,27.1268|7.6611|-41.3574,0.8112|146.8136|-54.2249,-27.2536|174.0072|-190.5042,-30.9424|169.7493|-186.4765,-20.5377|150.2018|-109.4315,-21.1899|149.6655|-108.4301,-16.956|155.9825|-95.095
attack2,30,1.0,-13.4362|103.0144|3.6304,-12.7624|97.8303|4.1517,-16.4294|110.0446|2.367,-19.8156|125.3013|-0.6094,-20.4222|158.9552|-1.7297,-16.303|164.3126|1.9654,-20.2529|150.3664|2.1377,-18.3448|150.1774|-4.5648,-30.3802|144.0702|18.5456,-15.2788|148.8963|-24.5754,-16.1442|131.2628|54.3507,-15.4575|148.8475|-65.1829,12.5858|132.8872|62.3311,-14.6524|153.8481|-94.6826,-21.7372|89.7068|12.9045,-2.9159|92.3794|-5.6709,-29.9744|55.7406|47.0372,26.3211|54.1839|-14.2248,-57.2922|16.9908|29.3438,14.351|16.7234|-46.0744,-55.1911|8.1027|39.7186,24.0079|7.7972|-41.8079,2.5669|144.1019|-53.415,-23.3492|172.5105|-189.872,-27.0321|168.1304|-185.972,-17.7585|147.7917|-108.9874,-17.4587|147.4863|-108.1583,-14.6533|153.8489|-94.6841
attack2,31,1.0333,-12.3573|102.624|2.977,-11.7737|97.4131|3.3292,-15.2382|109.7446|1.9714,-18.2379|125.2315|-0.3938,-17.8831|158.8857|-1.6095,-13.6075|164.2543|2.0173,-17.949|150.3074|2.309,-16.0726|150.0439|-4.4289,-27.8319|144.2357|18.949,-11.8438|148.3732|-24.1974,-12.1533|130.1229|53.6436,-13.8339|145.7312|-64.6705,17.3175|131.6584|58.3491,-11.2253|150.5225|-94.1005,-20.6858|89.3021|12.1573,-2.124|91.9511|-6.6808,-29.1481|55.7821|46.6739,27.3297|53.7577|-14.4665,-56.7543|17.0771|29.3338,13.3475|17.0134|-46.3307,-55.0108|8.1528|39.7437,22.9776|8.1772|-41.8232,3.8441|137.7213|-51.9058,-14.187|173.568|-187.8804,-17.9246|168.8093|-184.5124,-12.8931|144.0733|-108.4262,-12.6978|144.0149|-107.2659,-11.2262|150.5233|-94.102
attack2,32,1.0667,-11.2345|101.9564|2.2159,-10.795|96.7198|2.3644,-13.9291|109.1889|1.5233,-16.4038|124.9204|0.1155,-15.2907|158.5397|-1.5311,-10.9125|164.0009|1.9497,-15.5302|150.0164|2.5207,-13.7027|149.6241|-4.2502,-25.0117|144.3376|19.5289,-8.4565|147.3909|-23.717,-6.866|128.8137|52.3685,-13.0741|139.9572|-63.3708,23.0221|129.0891|53.257,-6.59|144.5972|-92.2206,-19.6995|88.8181|11.3877,-1.426|91.0319|-7.7854,-28.4545|56.4983|46.9598,28.7144|53.1146|-14.1648,-55.7161|17.4882|29.7586,13.108|16.8664|-45.8427,-54.8516|8.5137|40.2353,22.7242|8.1158|-41.1427,5.2003|125.3987|-49.3599,-1.0069|177.0809|-181.2292,-4.5305|171.5636|-178.9703,-5.5027|137.5239|-106.3988,-6.1699|138.1656|-105.0197,-6.5907|144.5981|-92.2222
attack2,33,1.1,-10.0091|100.7654|1.2355,-9.7077|95.5155|1.1915,-12.523|108.0873|0.8417,-14.4385|123.9779|0.2818,-12.6622|157.5259|-2.0819,-8.2182|163.1314|1.1857,-13.0434|149.0974|2.1696,-11.2778|148.5249|-4.6255,-22.0491|143.9866|19.6111,-5.0119|145.6632|-23.7046,-0.6341|127.4915|49.9098,-11.8947|132.3394|-61.442,29.0427|125.7719|46.5319,-1.2343|136.3264|-89.1249,-18.5716|87.717|10.3437,-0.584|89.7217|-9.1206,-27.4387|56.6227|46.965,30.6007|52.4439|-14.0958,-54.4665|17.3887|29.9047,12.8484|16.9302|-45.4743,-54.4189|8.3609|40.3712,22.4742|8.1725|-40.8074,11.1561|110.5832|-46.746,6.0639|178.6442|-171.0071,3.5424|172.2963|-169.8648,3.1907|128.578|-102.6723,2.817|129.4551|-101.1836,-1.2349|136.3273|-89.1265
attack2,34,1.1333,-8.4131|98.2835|-0.3499,-8.2448|93.0307|-0.577,-10.7506|105.6758|-0.4563,-12.0835|121.6532|-0.2486,-9.4729|155.1059|-3.1319,-4.9538|160.8152|-0.0629,-10.03|146.7549|1.2617,-8.3452|146.0357|-5.5537,-18.581|142.2338|19.0905,-1.1222|142.7177|-24.216,5.9362|124.577|46.2169,-9.3352|123.5835|-59.079,34.6836|120.5976|38.9071,5.0784|126.5174|-85.1468,-17.0458|85.2564|8.6561,0.6648|87.2189|-11.0648,-25.8388|55.7096|46.5543,33.1328|50.8857|-14.615,-53.1935|17.1136|28.5843,12.8721|16.3153|-45.524,-53.6005|7.8061|38.7949,22.5002|7.4984|-40.9745,21.7986|96.8326|-42.795,7.4855|174.3273|-160.6452,6.5029|167.4827|-160.2651,12.8946|118.1675|-97.3894,12.3254|119.3609|-96.7166,5.0777|126.5182|-85.1484
attack2,35,1.1667,-6.6821|95.1336|-2.1916,-6.6416|89.8871|-2.5943,-8.8479|102.5792|-2.0239,-9.6061|118.579|-1.1408,-5.8022|151.8918|-4.303,-1.1718|157.6315|-1.3948,-6.6243|143.5997|0.1637,-5.029|142.769|-6.6654,-14.8566|139.7247|18.2921,3.0173|139.0187|-24.9044,11.7274|120.9278|42.5546,-5.9651|114.8195|-56.2525,39.2714|115.9944|31.9297,10.6182|115.9189|-81.1458,-15.3872|82.0562|6.6437,2.0824|84.1505|-13.2776,-21.6174|55.7557|47.3385,36.048|49.1149|-15.6689,-50.3988|17.8547|30.1339,13.0363|15.7785|-46.0025,-50.2629|8.3942|40.2102,22.6753|6.8973|-41.604,34.5844|87.7819|-37.5201,2.0643|160.8222|-154.5949,2.6715|153.9314|-154.2696,20.6274|106.9191|-91.8706,20.2567|108.8716|-92.5726,10.6175|115.9195|-81.1475
attack2,36,1.2,-5.1315|92.1495|-3.8287,-5.2088|86.9176|-4.402,-7.1359|99.6325|-3.4041,-7.356|115.6063|-1.9384,-1.9321|148.6736|-5.3074,2.8463|154.3905|-2.5465,-3.1351|140.4557|-0.7901,-1.6245|139.5115|-7.6238,-11.256|137.4407|17.5508,6.9452|135.3027|-25.521,15.7495|116.2689|39.257,-2.488|107.8442|-53.9117,41.4573|111.398|24.7215,15.3696|106.4402|-77.8914,-13.9425|78.954|4.7333,3.3856|81.3491|-15.2775,-14.7474|56.9379|48.3366,39.3748|48.3368|-16.6371,-45.2249|20.0138|31.9481,12.8788|16.7108|-45.9415,-43.6866|10.1331|41.4904,22.5293|7.8207|-41.5862,46.5894|82.5373|-33.7037,-6.4684|142.9859|-150.4506,-4.5937|136.3391|-149.9376,25.7716|96.2904|-87.4855,25.8104|96.875|-87.9534,15.3689|106.4406|-77.8931
attack2,37,1.2333,-3.8998|89.2472|-5.1441,-4.0763|84.0348|-5.8694,-5.7673|96.7515|-4.4922,-5.5069|112.6703|-2.5397,1.4711|145.4199|-6.1432,6.3635|151.1434|-3.5501,-0.0961|137.2957|-1.5686,1.3264|136.2402|-8.4048,-8.1377|135.2851|16.944,9.9024|131.7737|-26.2365,18.5681|110.1163|34.323,-0.0439|101.7123|-51.6602,42.2983|105.1337|16.7746,19.0631|96.9878|-74.2099,-12.797|75.9087|3.1343,4.4299|78.6723|-16.9164,-8.2616|57.2289|48.0465,42.1799|47.67|-17.7389,-40.6912|21.3158|33.2336,12.7209|17.4325|-45.6468,-37.5961|11.161|42.0852,22.3578|8.5558|-41.2344,56.2256|77.8601|-30.7661,-15.0137|123.3681|-144.5773,-12.3115|117.0311|-143.872,28.6832|85.2694|-82.7423,29.0181|85.3136|-81.6659,19.0624|96.988|-74.2116
attack2,38,1.2667,-3.2023|87.0632|-5.8107,-3.4533|81.8703|-6.6557,-4.9682|94.5762|-4.974,-4.2975|110.4296|-2.6602,3.8335|142.8691|-6.6325,8.768|148.6701|-4.2495,2.0124|134.8496|-1.968,3.3357|133.6804|-8.8057,-5.8399|133.8924|16.7095,11.4757|129.2147|-26.8408,19.6421|104.0364|27.1007,1.3373|96.8539|-49.1781,42.6795|97.6897|9.076,22.8138|87.1452|-67.6279,-12.1104|73.5684|2.2483,4.981|76.7251|-17.8602,-4.7196|54.7016|46.7008,43.4494|46.6386|-19.2278,-39.1332|19.0754|36.341,12.8594|16.5375|-46.0449,-34.1376|9.2615|44.6945,22.483|7.6438|-41.6378,60.5034|71.3418|-22.5643,-14.6681|105.617|-137.7748,-11.8855|99.3906|-136.5721,31.2891|73.7119|-74.0998,31.5217|73.7541|-74.9216,22.8132|87.1453|-67.6296
attack2,39,1.3,-3.3424|86.8569|-5.2845,-3.6444|81.6813|-6.2241,-5.0404|94.3698|-4.2985,-4.0187|110.1557|-1.717,4.9827|142.3145|-6.0764,9.912|148.225|-3.9103,2.9815|134.3934|-1.3183,4.206|133.1235|-8.1564,-4.5698|134.4309|17.5073,11.4047|128.9791|-26.6623,19.7102|101.9645|19.7643,1.0876|94.6293|-45.7047,42.672|91.9656|3.3731,22.4401|73.6548|-45.8919,-12.1986|73.1889|2.5994,4.7514|76.7634|-17.5588,-2.6714|52.4755|45.8059,43.4882|47.0867|-19.9318,-38.7868|17.4761|40.1875,12.8102|16.3467|-45.9107,-32.1498|8.1961|47.9902,22.4498|7.4667|-41.5108,45.7135|63.1882|10.035,4.0118|82.2476|-124.1169,5.6171|76.1271|-121.3024,29.6422|58.6353|-46.8506,29.7453|58.7172|-48.0156,22.44|73.6546|-45.8938
attack2,40,1.3333,-3.9898|87.424|-4.157,-4.3116|82.2613|-5.1677,-5.6648|94.9285|-3.0559,-4.3375|110.6616|-0.3533,5.2102|142.5962|-5.1733,10.0458|148.6879|-3.2592,3.1132|134.7678|-0.3044,4.2419|133.3984|-7.1399,-3.9447|136.0172|18.6706,10.1111|129.9071|-26.2404,20.069|103.3778|16.0811,4.8302|92.5833|-41.3407,42.4851|90.2615|1.2027,24.059|69.7596|-43.6255,-12.6871|73.4693|3.533,4.1168|77.69|-16.6225,-0.3575|49.9737|44.5519,42.9733|48.3043|-20.3024,-38.6472|17.0199|41.5858,12.588|16.9342|-45.8689,-31.385|8.0525|49.1948,22.25|8.0477|-41.5317,48.701|68.1376|11.8106,-0.6741|68.0733|-121.0849,2.45|62.7061|-118.0204,32.375|56.2526|-43.9317,32.0615|56.4809|-45.2458,24.0589|69.7594|-43.6274
attack2,41,1.3667,-4.8085|87.8153|-3.0153,-5.1398|82.6618|-4.0778,-6.4756|95.3106|-1.8272,-4.8708|111.0018|0.8976,5.1079|142.7227|-4.4337,9.8665|148.9617|-2.7598,2.947|134.9892|0.5573,3.9772|133.517|-6.2723,-3.4217|138.8533|19.4235,7.9851|131.1598|-26.0169,19.7893|105.5559|18.3185,5.0609|93.4344|-40.7549,42.2978|95.273|1.4804,25.2169|71.3773|-42.5189,-13.347|73.6206|4.5274,3.3098|78.3829|-15.6296,1.4264|47.1404|42.8308,42.0448|49.0368|-20.6579,-38.9904|16.7001|41.9758,12.0658|17.1028|-46.005,-31.5524|7.8241|49.522,21.6966|8.156|-41.7228,49.8772|77.6965|12.363,-1.7523|60.9762|-118.6099,1.9578|56.2381|-115.1829,33.7851|59.3664|-41.6744,34.7806|58.6121|-42.5815,25.2168|71.377|-42.5207
attack2,42,1.4,-5.7599|88.2462|-1.8365,-6.1148|83.0954|-2.9127,-7.3984|95.7452|-0.6171,-5.5718|111.4052|2.0646,4.9489|142.883|-3.6517,9.773|149.1244|-2.1203,2.6947|135.2356|1.4299,3.6248|133.6848|-5.3966,-2.6556|143.1725|19.313,5.6024|132.7549|-25.5632,19.7906|109.5558|23.1558,5.5281|95.0022|-40.5199,41.1406|105.1367|2.6486,28.342|75.6297|-40.8791,-14.2594|74.0627|5.7605,2.2715|78.802|-14.5053,2.2206|45.8947|42.1141,40.7723|49.2994|-20.3507,-39.4016|17.1149|42.5244,11.4686|16.7387|-45.6903,-31.963|8.2306|50.0602,21.0069|7.7368|-41.3176,49.5176|91.3267|12.4734,2.01|52.7327|-115.4038,6.4499|49.0646|-111.5579,36.9762|65.0707|-39.1823,37.8727|64.7166|-40.0049,28.342|75.6294|-40.8809
attack2,43,1.4333,-6.7701|88.6986|-0.6332,-7.1809|83.5352|-1.635,-8.3325|96.2315|0.4872,-6.3805|111.8763|3.0709,5.1315|142.91|-3.1419,10.1691|149.0286|-1.7468,2.6802|135.4029|2.0564,3.4759|133.7426|-4.7614,-1.138|147.3127|18.0252,3.527|134.2097|-25.0406,21.1421|114.7446|27.5963,6.3663|96.7263|-40.3999,39.4543|114.1375|3.928,31.417|80.3838|-39.2672,-15.3667|74.7988|7.2989,1.0873|78.8782|-13.1719,2.4695|45.4647|42.0551,39.8715|49.9464|-19.9263,-39.3449|16.9621|42.0409,12.017|16.724|-46.03,-31.9464|8.0909|49.6313,21.6052|7.7902|-41.6268,47.7627|102.3926|12.7176,8.8455|48.3598|-112.442,13.693|45.658|-108.2992,40.1622|71.0088|-37.0044,40.4431|69.2418|-38.0983,31.4169|80.3834|-39.269
attack2,44,1.4667,-7.7682|89.1554|0.586,-8.2388|83.9725|-0.2895,-9.2475|96.7322|1.5248,-7.2172|112.3757|3.938,5.5823|142.7734|-2.8713,10.8893|148.7072|-1.6212,2.8542|135.4632|2.4677,3.5119|133.6634|-4.3293,0.7548|149.8483|16.6129,2.7633|134.5323|-24.5815,23.3586|118.9326|30.1032,7.4345|97.3005|-40.1042,39.5643|119.0321|4.9387,33.5455|82.8191|-38.0062,-16.529|75.74|9.0189,-0.1006|78.7185|-11.6613,2.5445|45.3458|42.1701,39.0138|50.4793|-19.3745,-38.861|16.2647|41.3175,12.5899|16.7619|-46.3175,-31.3096|7.3567|48.7118,22.2858|7.9417|-41.9209,48.6415|106.0674|13.5594,11.5784|48.8758|-110.7566,16.5951|46.4716|-106.6321,42.2873|73.8549|-35.8062,42.4949|72.1941|-36.8592,33.5455|82.8188|-38.008
attack2,45,1.5,-8.6823|89.5994|1.8112,-9.2127|84.3958|1.0969,-10.0775|97.2202|2.5114,-7.9997|112.8703|4.6978,6.2746|142.447|-2.7637,11.8779|148.147|-1.6609,3.217|135.3856|2.7294,3.7358|133.4282|-4.0361,2.5821|150.8377|15.8538,2.8924|133.9556|-24.2963,24.4813|120.7858|32.1636,6.6397|96.6677|-39.9344,40.0456|117.9226|6.758,32.9036|82.5613|-37.2667,-17.6627|76.8876|10.8627,-1.2417|78.332|-9.9866,2.356|45.7576|42.7496,38.0768|50.65|-18.6266,-38.5961|16.0798|41.0153,12.9598|16.52|-46.2904,-30.9187|7.1631|48.2679,22.7468|7.806|-41.8843,47.6348|106.0544|14.3024,11.0883|48.458|-109.9796,16.109|46.0859|-105.8414,41.5322|73.7224|-35.0167,42.9775|73.6577|-35.6845,32.9035|82.561|-37.2685
attack2,46,1.5333,-9.4407|90.0132|3.0324,-10.0092|84.7958|2.4479,-10.7821|97.6618|3.5321,-8.6325|113.3158|5.4449,6.8406|142.1464|-2.5295,12.6718|147.6466|-1.5287,3.5006|135.3123|3.0853,3.9307|133.2195|-3.6457,3.8863|151.3352|15.5168,3.0824|133.4428|-23.9114,25.7474|122.7387|34.306,5.447|96.1439|-39.7913,40.0852|115.5251|9.0417,32.2315|83.4128|-35.7403,-18.5687|77.7684|12.4729,-2.099|78.2182|-8.3833,1.8663|46.4918|43.9497,37.1924|50.8082|-17.9622,-38.8924|16.5815|41.7242,13.1236|16.4301|-46.2439,-31.2261|7.7347|49.0735,22.9503|7.7688|-41.822,48.0935|105.8824|16.0763,8.8684|51.1273|-108.6728,13.9305|48.6211|-104.6661,40.8223|74.5908|-33.753,41.8909|73.6326|-34.5741,32.2314|83.4125|-35.7422
attack2,47,1.5667,-9.9718|90.3798|4.2411,-10.56|85.1517|3.7663,-11.2854|98.0451|4.5632,-9.0392|113.6984|6.1472,7.4937|141.8129|-2.2462,13.5136|147.1319|-1.3134,3.8879|135.2006|3.4688,4.2683|132.9786|-3.2237,5.0091|151.5641|15.4019,3.4986|132.9035|-23.4936,27.2373|124.3422|35.7386,4.2208|95.7017|-39.7564,40.525|113.1179|11.38,31.2289|83.9724|-34.3822,-19.1897|78.3948|13.9162,-2.6129|78.2898|-6.8595,1.8739|46.7251|44.5749,36.4867|50.9546|-17.3902,-38.374|16.226|41.2943,13.2679|16.4411|-46.2126,-30.6476|7.4024|48.6085,23.1021|7.7973|-41.7733,46.8384|105.4062|18.0593,8.3871|53.424|-108.1088,13.4057|50.8127|-104.1147,39.8353|75.1867|-32.4652,41.1761|73.9689|-33.6868,31.2288|83.9721|-34.384
